Curs escolar,Codi_centre,Nom_centre,Municipi,Unitats concertades - EINF,Unitats concertades - PRI,Unitats concertades - ESO,Unitats concertades - EdE,Unitats concertades - BATX,Unitats concertades - CFPM,Unitats concertades -CFPS,Alumnes - EINF,Alumnes - PRI,Alumnes - ESO,Alumnes - EdE,Alumnes - BATX,Alumnes - CFPM,Alumnes - CFPS,Dotació plantilla,Nòmina del personal del centre,Seg.Social,Despeses de funcionament,Total Alumnes,MUNICIPI,NOM_CAPITAL,COMARCA,PROVINCIA,CENS
2017-2018,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,104.0,306.0,310.0,0.0,117.0,0.0,0.0,50.4,1875775.62,579614.67,222617.76,837.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2018-2019,8000131,La Presentació,Arenys de Mar,4.0,12.0,12.0,0.0,4.0,0.0,0.0,95.0,298.0,307.0,0.0,124.0,0.0,0.0,49.89,1911545.2,590667.47,234189.43,824.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2019-2020,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,112.0,279.0,334.0,0.0,120.0,0.0,0.0,51.4,2067246.37,649115.36,236958.86,845.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2020-2021,8000131,La Presentació,Arenys de Mar,5.0,12.0,12.0,0.0,4.0,0.0,0.0,89.0,284.0,335.0,0.0,134.0,0.0,0.0,54.4,2213066.24,694902.8,267846.72,842.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2021-2022,8000131,La Presentació,Arenys de Mar,6.0,12.0,12.0,0.0,4.0,0.0,0.0,98.0,277.0,340.0,0.0,131.0,0.0,0.0,54.56,2368264.88,743635.17,296436.05,846.0,Arenys de Mar,Arenys de Mar,Maresme,Barcelona,16155.0
2017-2018,8000220,Vedruna,Artés,2.0,6.0,3.0,0.0,0.0,0.0,0.0,50.0,123.0,86.0,0.0,0.0,0.0,0.0,17.04,607776.6,187802.97,75347.57,259.0,Artés,Artés,Bages,Barcelona,5902.0
2018-2019,8000220,Vedruna,Artés,3.0,6.0,3.0,0.0,0.0,0.0,0.0,51.0,125.0,85.0,0.0,0.0,0.0,0.0,18.04,671241.27,207413.55,82595.76,261.0,Artés,Artés,Bages,Barcelona,5902.0
2019-2020,8000220,Vedruna Artés,Artés,2.0,6.0,3.0,0.0,0.0,0.0,0.0,47.0,127.0,96.0,0.0,0.0,0.0,0.0,19.54,733195.42,230223.36,76329.43,270.0,Artés,Artés,Bages,Barcelona,5902.0
2020-2021,8000220,Vedruna Artés,Artés,1.0,6.0,4.0,0.0,0.0,0.0,0.0,42.0,124.0,102.0,0.0,0.0,0.0,0.0,21.22,785632.14,246688.49,85397.77,268.0,Artés,Artés,Bages,Barcelona,5902.0
2021-2022,8000220,Vedruna Artés,Artés,0.0,6.0,4.0,0.0,0.0,0.0,0.0,34.0,122.0,105.0,0.0,0.0,0.0,0.0,20.22,839912.85,263732.63,82039.99,261.0,Artés,Artés,Bages,Barcelona,5902.0
2017-2018,8000499,Sant Domènec Savio,Badalona,9.0,18.0,12.0,0.0,0.0,6.0,0.0,204.0,457.0,349.0,0.0,0.0,126.0,0.0,68.79,2488237.42,768865.36,337292.23,1136.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000517,Sant Andreu,Badalona,9.0,18.0,12.0,0.0,0.0,0.0,0.0,200.0,461.0,354.0,0.0,0.0,0.0,0.0,57.16,2058083.26,635947.73,263437.47,1015.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000578,Nen Jesús de Praga,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,59.0,159.0,123.0,0.0,0.0,0.0,0.0,19.72,751687.93,232271.57,87104.33,341.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000608,Montserrat,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,71.0,144.0,0.0,0.0,0.0,0.0,0.0,13.0,446602.36,138000.13,53773.2,215.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000670,Mare de Déu de la Salut,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,72.0,158.0,0.0,0.0,0.0,0.0,0.0,13.0,429077.23,132584.86,52894.51,230.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000700,Maristes Champagnat,Badalona,7.0,18.0,12.0,0.0,0.0,0.0,0.0,163.0,459.0,343.0,0.0,0.0,0.0,0.0,52.33,1927439.93,595578.94,250742.09,965.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000712,Llefià,Badalona,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,88.0,94.0,13.61,496726.12,153488.37,68967.13,182.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000761,Badalonès,Badalona,9.0,18.0,12.0,0.0,6.0,2.0,0.0,220.0,467.0,366.0,0.0,204.0,60.0,0.0,70.22,2561536.87,791514.89,317779.42,1317.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000827,Jesús Maria,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,139.0,310.0,234.0,0.0,0.0,0.0,0.0,37.68,1442926.73,445864.36,170377.83,683.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000864,Cultural,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,139.0,297.0,221.0,0.0,0.0,0.0,0.0,37.68,1392244.01,430203.4,172541.58,657.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000918,Cultural,Badalona,6.0,12.0,12.0,0.0,8.0,2.0,4.0,132.0,307.0,355.0,0.0,271.0,61.0,114.0,69.84,2610342.45,806595.82,300026.66,1240.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000921,Arrels-Esperança,Badalona,12.0,22.0,12.0,0.0,0.0,0.0,0.0,301.0,573.0,325.0,0.0,0.0,0.0,0.0,63.16,2242144.27,692822.58,297614.38,1199.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000943,Garbí Pere Vergés,Badalona,6.0,12.0,6.0,0.0,0.0,0.0,0.0,153.0,328.0,272.0,0.0,0.0,0.0,0.0,34.26,1161581.67,358928.74,167389.7,753.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000967,Betúlia,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,62.0,163.0,116.0,0.0,0.0,0.0,0.0,18.72,689653.82,213103.03,81417.46,341.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000979,López Torrejón,Badalona,2.0,6.0,0.0,0.0,0.0,0.0,0.0,59.0,145.0,0.0,0.0,0.0,0.0,0.0,12.0,405031.2,125154.64,47798.4,204.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8000980,Ramiro de Maeztu,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,59.0,154.0,111.0,0.0,0.0,0.0,0.0,19.72,683728.54,211272.12,86454.24,324.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001029,Boix,Badalona,2.0,6.0,4.0,0.0,0.0,0.0,0.0,63.0,146.0,117.0,0.0,0.0,0.0,0.0,18.72,666299.54,205886.56,80136.58,326.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001030,Cultural Fluvià,Badalona,3.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,160.0,0.0,0.0,0.0,0.0,0.0,13.0,447442.28,138259.66,55895.62,234.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001066,Maria Ward,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,145.0,298.0,219.0,0.0,0.0,0.0,0.0,37.68,1353776.56,418316.96,175315.95,662.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001108,Mare de Déu de l'Assumpció,Badalona,9.0,18.0,12.0,0.0,6.0,0.0,0.0,215.0,453.0,368.0,0.0,219.0,0.0,0.0,68.36,2650330.0,818951.97,291165.41,1255.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001133,Arrels-Blanquerna,Badalona,3.0,6.0,4.0,0.0,0.0,0.0,0.0,71.0,158.0,126.0,0.0,0.0,0.0,0.0,19.72,710625.72,219583.35,85810.69,355.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
2017-2018,8001145,Lestonnac,Badalona,6.0,12.0,8.0,0.0,0.0,0.0,0.0,118.0,276.0,214.0,0.0,0.0,0.0,0.0,41.68,1529543.0,472628.79,175156.88,608.0,Badalona,Badalona,Barcelonès,Barcelona,223506.0
